User_Idx,Book_Idx,Book-Rating
165864,37412,7
165864,124149,9
165864,13492,6
165864,5175,7
165864,66912,9
165864,244143,7
165864,208622,6
165864,244145,8
165864,112941,10
165864,34271,10
165864,48812,10
165864,34272,10
165864,34273,10
165864,113591,9
165864,244146,7
165864,51484,10
165864,51483,10
165864,51481,10
165864,244147,8
165864,244148,10
165915,4315,10
165919,183108,8
165919,192064,5
165919,244202,7
165919,21747,5
165919,21746,6
165944,6501,7
165944,66507,8
165944,16156,8
165944,16158,9
165944,16159,10
165944,62224,7
165959,159854,9
165967,5064,2
165967,350,8
166072,3166,7
166072,56415,5
166072,49937,6
166072,44185,6
166072,4964,8
166072,87303,5
166072,35849,7
166072,244228,7
166072,27603,5
166072,7872,7
166072,15273,6
166072,61524,6
166072,13243,5
166072,21156,7
166072,85161,6
166072,239,7
166072,63618,6
166072,90618,5
166097,244257,8
166097,133886,6
166097,193669,9
166097,244258,8
166097,136771,9
166097,244259,8
166097,244260,9
166097,92429,9
166097,178200,9
166097,29288,9
166097,143092,9
166097,35452,8
166097,80280,7
166097,235,10
166097,244261,9
166097,244262,8
166097,244263,7
166097,244264,8
166097,114674,8
166097,38080,8
166097,132310,8
166097,133902,8
166097,114673,8
166097,31249,8
166097,38049,8
166097,59806,8
166097,196215,8
166097,244265,7
166097,244266,8
166097,244267,8
166097,244268,7
166097,140919,10
166097,244269,7
166097,244270,9
166097,99052,9
166097,77949,9
166210,244296,10
166210,77625,8
166210,818,8
166210,1969,10
166210,244299,9
166210,270,9
166210,35942,8
166210,4466,9
166210,53152,9
166210,2529,9
166210,1776,9
166210,470,9
166210,735,8
166210,769,8
166210,59497,7
166210,244303,7
166210,19148,7
166210,244305,10
166210,1740,9
166210,111251,8
166210,15886,9
166210,4024,8
166210,15746,9
166210,20854,7
166210,21811,5
166210,1759,7
166210,15450,8
166210,7622,9
166210,41132,8
166210,5358,10
166210,157467,5
166210,129191,8
166210,23173,9
166210,7271,8
166210,30764,10
166210,4399,10
166210,77879,8
166210,58270,8
166210,1477,8
166210,10015,10
166210,8619,6
166210,92024,10
166210,244307,9
166210,244308,8
166210,84955,8
166210,7785,9
166210,9469,10
166210,1201,10
166210,22488,10
166210,13655,9
166210,23443,9
166210,64742,8
166210,46262,5
166210,74876,8
166210,27767,8
166210,184281,8
166210,67188,9
166210,23275,8
166210,95738,8
166210,10370,8
166210,62366,10
166210,19940,10
166210,1596,9
166210,9498,5
166210,101438,8
166210,111149,8
166210,244314,8
166210,16590,8
166210,14723,9
166210,753,8
166210,2756,9
166210,21468,9
166210,55177,9
166210,1186,8
166210,18374,10
166210,64750,7
166210,10487,10
166210,244315,8
166210,172980,9
166210,244317,8
166210,44571,10
166210,85411,5
166210,3595,10
166210,26537,10
166210,7683,8
166210,11352,8
166210,20435,10
166210,102184,10
166210,15048,10
166210,19545,10
166210,18503,10
166210,4913,10
166210,34016,8
166210,20434,10
166210,244321,10
166210,7479,7
166210,244322,10
166210,244323,10
166210,67673,8
166210,166913,10
166210,198487,10
166210,10367,6
166210,244327,10
166210,19304,10
166210,71004,6
166210,20351,8
166210,244330,9
166210,16580,10
166210,100037,9
166210,9735,7
166210,34969,8
166210,244332,5
166210,244333,5
166210,107715,5
166210,244335,5
166210,38971,8
166210,244337,7
166210,244338,7
166210,22757,10
166210,131382,10
166210,94929,10
166210,244339,9
166210,17359,10
166210,244341,10
166210,77844,7
166210,244344,10
166210,142916,10
166210,97853,10
166210,244345,7
166210,181314,7
166210,136101,7
166210,244347,8
166210,24933,7
166233,105624,8
166233,89571,8
166233,244359,7
166233,244360,8
166233,244361,6
166233,55885,7
166233,15650,10
166233,244362,6
166233,244363,6
166233,244364,10
166233,244365,9
166233,244367,10
166233,244369,7
166233,244370,5
166233,8671,8
166233,43328,7
166233,244372,7
166233,244373,6
166233,137751,7
166233,244375,9
166233,63264,7
166261,7866,10
166261,8887,10
166261,23436,10
166261,3283,10
166261,21155,10
166261,10234,10
166261,1663,10
166261,244379,10
166261,750,10
166261,87777,7
166261,250,10
166325,938,8
166325,2423,9
166325,11285,7
166325,16464,8
166325,244437,8
166325,10990,8
166325,16300,7
166325,71173,9
166325,10090,8
166325,76235,8
166325,29786,8
166325,2411,7
166325,244453,7
166325,20663,7
166325,86093,7
166325,14675,8
166325,65583,6
166494,244506,9
166507,7625,9
166507,108092,10
166507,51308,6
166507,244514,7
166507,244515,7
166507,27725,10
166508,53245,9
166508,22320,9
166508,244519,6
166508,116030,8
166508,244520,8
166508,244521,7
166508,52501,8
166558,22194,8
166558,70528,5
166558,27773,7
166558,21158,8
166558,227,8
166558,8312,6
166558,6725,5
166558,16705,3
166558,28706,8
166558,68003,6
166558,186104,8
166558,5700,7
166558,14299,8
166558,6040,8
166558,63529,8
166558,54208,5
166558,2743,8
166558,69830,8
166558,11978,6
166558,5835,8
166558,51113,9
166558,30966,9
166558,3578,8
166558,19966,7
166558,750,7
166558,128624,5
166558,9554,5
166558,244550,7
166558,130135,9
166558,56027,7
166558,76568,6
166616,64373,8
166616,47003,8
166616,109068,9
166616,116172,9
166616,1624,8
166616,30772,6
166616,22304,8
166616,2847,9
166616,50899,9
166616,244563,8
166616,49261,9
166616,1569,8
166616,151900,9
166616,1339,7
166616,77942,8
166616,244565,6
166616,50701,8
166616,24380,8
166616,8368,9
166616,134883,7
166616,7339,4
166616,8381,8
166616,7021,9
166616,32710,7
166616,99472,8
166616,219933,8
166616,67,8
166616,155638,8
166616,167493,4
166616,61807,9
166616,46824,9
166616,244571,2
166616,107717,9
166616,15359,8
166616,113010,9
166616,24195,9
