ISBN,Book-Author,Year-Of-Publication
3,gina bari kolata,1999
5,amy tan,1991
6,robert cowley,2000
17,julia oliver,1994
18,john grisham,1999
19,toni morrison,1994
20,the onion,1999
21,celia brooks brown,2001
26,rich shapero,2004
27,michael crichton,1997
28,michael crichton,2000
29,c.s. lewis,1996
31,stephan jaramillo,1998
36,mark salzman,2000
37,harper lee,1988
38,laura hillenbrand,2002
44,dean r. koontz,2000
45,mary higgins clark,1994
46,dean koontz,2001
47,patricia cornwell,2002
48,j.d. robb,2002
49,maeve binchy,1997
51,tim lahaye,2000
52,john grisham,1999
56,mark helprin,1992
60,larry mcmurtry,1986
61,suzanne fisher staples,1991
62,suzanne fisher staples,1995
64,carl sagan,1978
66,anne tyler,1994
67,amy tan,1994
68,joseph conrad,1998
70,thomas hardy,1997
72,valerie frankel,2003
73,benjamin hoff,1983
74,laura hillenbrand,2003
76,h. jackson brown,1991
77,robert a. heinlein,1987
78,philip pullman,1988
79,anna sewell,1995
80,michael ondaatje,2000
82,p.j. o'rourke,1990
83,mike gayle,2000
90,j.d. salinger,1991
91,j. r. r. tolkien,2001
92,j. r. r. tolkien,2001
93,j. r. r. tolkien,2001
94,john berendt,1994
95,mary higgins clark,1998
96,jennifer crusie,2001
97,jane heller,2001
98,michael rips,2002
101,robert t. kiyosaki,2000
102,ken follett,1996
103,john f. love,1995
104,robert g. allen,1986
105,louis de bernieres,1995
107,mitch albom,2003
109,michael jan friedman,1992
111,neal barrett jr.,1996
113,sandra brown,2000
114,james patterson,2003
116,stuart woods,2003
117,iris johansen,2004
118,dan brown,2001
120,anita shreve,2004
121,ann rule,2002
123,paul theroux,1990
124,lewis grizzard,1994
125,charles hickey,1996
126,stephen king,2000
127,ben mezrich,2003
129,tom clancy,2002
132,barbara metzger,2002
133,gabriel garcia marquez,1998
134,rebecca wells,1996
135,tony hillerman,1992
136,mary higgins clark,2001
137,robert james waller,1994
139,ian mcewan,2003
140,michael lewis,2001
144,anne frasier,2002
145,kay hooper,2002
148,daphne du maurier,1994
149,nathaniel hawthorne,1993
151,laura wolf,2003
152,lois duncan,1986
153,susan grant,2002
154,barbara vine,1997
155,shirley rousseau murphy,1993
156,jane lindskold,2002
157,robert james waller,1995
161,david baldacci,2000
162,douglas adams,1982
163,mary lawson,2003
164,willa cather,1995
165,olivia goldsmith,2002
166,helen fielding,1997
167,jane austen,1995
171,lilian jackson braun,1994
174,piers anthony,1990
175,ray bradbury,1984
188,gabriel garcia marquez,0
192,sue townsend,2002
194,michael moore,2003
195,jonathan franzen,2002
196,jerome d. salinger,1968
197,jerome d. salinger,1998
